timestamp,msg_type,time,latitude,longitude,altitude,fix,satellites,fix_state,age_of_correction,course_over_ground_degrees,course_over_ground_degrees_magnetic,speed_kmh,mode,position_diluition_precision,horizontal_diluition_precision,vertical_diluition_precision,heading_valid,heading_vehicle,heading_motion,heading_accuracy_estimate,speed_accuracy,
1648476971.737313986,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.016000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.737863064,GGA,141611.70,46.260258600,11.187949900,244.400000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.738312006,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.738775969,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.739244938,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.787359953,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.131000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.787930965,GGA,141611.75,46.260258600,11.187950000,244.400000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.788343906,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.788870096,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.789320946,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.838541985,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.004000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.839386940,GGA,141611.80,46.260258600,11.187950100,244.400000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.840045929,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.840507984,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.840991974,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.886404037,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.137000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.886969090,GGA,141611.85,46.260258700,11.187950100,244.500000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.887445927,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.888041973,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.888494015,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.936610937,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.050000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.937093973,GGA,141611.90,46.260258700,11.187950200,244.500000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.937701941,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.938117981,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.938667059,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.990576982,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.035000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
